     x            y            u      
  0.009901     0.009901     0.002670  
  0.019802     0.009901     0.004465  
  0.029703     0.009901     0.005742  
  0.039604     0.009901     0.006684  
  0.049505     0.009901     0.007392  
  0.059406     0.009901     0.007933  
  0.069307     0.009901     0.008350  
  0.079208     0.009901     0.008674  
  0.089109     0.009901     0.008926  
  0.099010     0.009901     0.009124  
  0.108911     0.009901     0.009280  
  0.118812     0.009901     0.009403  
  0.128713     0.009901     0.009500  
  0.138614     0.009901     0.009578  
  0.148515     0.009901     0.009639  
  0.158416     0.009901     0.009688  
  0.168317     0.009901     0.009727  
  0.178218     0.009901     0.009758  
  0.188119     0.009901     0.009783  
  0.198020     0.009901     0.009803  
  0.207921     0.009901     0.009819  
  0.217822     0.009901     0.009832  
  0.227723     0.009901     0.009842  
  0.237624     0.009901     0.009850  
  0.247525     0.009901     0.009857  
  0.257426     0.009901     0.009862  
  0.267327     0.009901     0.009867  
  0.277228     0.009901     0.009870  
  0.287129     0.009901     0.009873  
  0.297030     0.009901     0.009875  
  0.306931     0.009901     0.009877  
  0.316832     0.009901     0.009879  
  0.326733     0.009901     0.009880  
  0.336634     0.009901     0.009881  
  0.346535     0.009901     0.009882  
  0.356436     0.009901     0.009882  
  0.366337     0.009901     0.009883  
  0.376238     0.009901     0.009883  
  0.386139     0.009901     0.009883  
  0.396040     0.009901     0.009884  
  0.405941     0.009901     0.009884  
  0.415842     0.009901     0.009884  
  0.425743     0.009901     0.009884  
  0.435644     0.009901     0.009884  
  0.445545     0.009901     0.009884  
  0.455446     0.009901     0.009884  
  0.465347     0.009901     0.009885  
  0.475248     0.009901     0.009885  
  0.485149     0.009901     0.009885  
  0.495050     0.009901     0.009885  
  0.504950     0.009901     0.009885  
  0.514851     0.009901     0.009885  
  0.524752     0.009901     0.009885  
  0.534653     0.009901     0.009885  
  0.544554     0.009901     0.009884  
  0.554455     0.009901     0.009884  
  0.564356     0.009901     0.009884  
  0.574257     0.009901     0.009884  
  0.584158     0.009901     0.009884  
  0.594059     0.009901     0.009884  
  0.603960     0.009901     0.009884  
  0.613861     0.009901     0.009883  
  0.623762     0.009901     0.009883  
  0.633663     0.009901     0.009883  
  0.643564     0.009901     0.009882  
  0.653465     0.009901     0.009882  
  0.663366     0.009901     0.009881  
  0.673267     0.009901     0.009880  
  0.683168     0.009901     0.009879  
  0.693069     0.009901     0.009877  
  0.702970     0.009901     0.009875  
  0.712871     0.009901     0.009873  
  0.722772     0.009901     0.009870  
  0.732673     0.009901     0.009867  
  0.742574     0.009901     0.009862  
  0.752475     0.009901     0.009857  
  0.762376     0.009901     0.009850  
  0.772277     0.009901     0.009842  
  0.782178     0.009901     0.009832  
  0.792079     0.009901     0.009819  
  0.801980     0.009901     0.009803  
  0.811881     0.009901     0.009783  
  0.821782     0.009901     0.009758  
  0.831683     0.009901     0.009727  
  0.841584     0.009901     0.009688  
  0.851485     0.009901     0.009639  
  0.861386     0.009901     0.009578  
  0.871287     0.009901     0.009500  
  0.881188     0.009901     0.009403  
  0.891089     0.009901     0.009280  
  0.900990     0.009901     0.009124  
  0.910891     0.009901     0.008926  
  0.920792     0.009901     0.008674  
  0.930693     0.009901     0.008350  
  0.940594     0.009901     0.007933  
  0.950495     0.009901     0.007392  
  0.960396     0.009901     0.006684  
  0.970297     0.009901     0.005742  
  0.980198     0.009901     0.004465  
  0.990099     0.009901     0.002670  
  0.009901     0.019802     0.004465  
  0.019802     0.019802     0.007852  
  0.029703     0.019802     0.010442  
  0.039604     0.019802     0.012440  
  0.049505     0.019802     0.013991  
  0.059406     0.019802     0.015202  
  0.069307     0.019802     0.016152  
  0.079208     0.019802     0.016898  
  0.089109     0.019802     0.017486  
  0.099010     0.019802     0.017951  
  0.108911     0.019802     0.018320  
  0.118812     0.019802     0.018612  
  0.128713     0.019802     0.018844  
  0.138614     0.019802     0.019029  
  0.148515     0.019802     0.019176  
  0.158416     0.019802     0.019294  
  0.168317     0.019802     0.019388  
  0.178218     0.019802     0.019463  
  0.188119     0.019802     0.019523  
  0.198020     0.019802     0.019571  
  0.207921     0.019802     0.019610  
  0.217822     0.019802     0.019641  
  0.227723     0.019802     0.019666  
  0.237624     0.019802     0.019686  
  0.247525     0.019802     0.019702  
  0.257426     0.019802     0.019715  
  0.267327     0.019802     0.019726  
  0.277228     0.019802     0.019734  
  0.287129     0.019802     0.019741  
  0.297030     0.019802     0.019746  
  0.306931     0.019802     0.019751  
  0.316832     0.019802     0.019754  
  0.326733     0.019802     0.019757  
  0.336634     0.019802     0.019760  
  0.346535     0.019802     0.019762  
  0.356436     0.019802     0.019763  
  0.366337     0.019802     0.019764  
  0.376238     0.019802     0.019765  
  0.386139     0.019802     0.019766  
  0.396040     0.019802     0.019767  
  0.405941     0.019802     0.019767  
  0.415842     0.019802     0.019768  
  0.425743     0.019802     0.019768  
  0.435644     0.019802     0.019768  
  0.445545     0.019802     0.019769  
  0.455446     0.019802     0.019769  
  0.465347     0.019802     0.019769  
  0.475248     0.019802     0.019769  
  0.485149     0.019802     0.019769  
  0.495050     0.019802     0.019769  
  0.504950     0.019802     0.019769  
  0.514851     0.019802     0.019769  
  0.524752     0.019802     0.019769  
  0.534653     0.019802     0.019769  
  0.544554     0.019802     0.019769  
  0.554455     0.019802     0.019769  
  0.564356     0.019802     0.019768  
  0.574257     0.019802     0.019768  
  0.584158     0.019802     0.019768  
  0.594059     0.019802     0.019767  
  0.603960     0.019802     0.019767  
  0.613861     0.019802     0.019766  
  0.623762     0.019802     0.019765  
  0.633663     0.019802     0.019764  
  0.643564     0.019802     0.019763  
  0.653465     0.019802     0.019762  
  0.663366     0.019802     0.019760  
  0.673267     0.019802     0.019757  
  0.683168     0.019802     0.019754  
  0.693069     0.019802     0.019751  
  0.702970     0.019802     0.019746  
  0.712871     0.019802     0.019741  
  0.722772     0.019802     0.019734  
  0.732673     0.019802     0.019726  
  0.742574     0.019802     0.019715  
  0.752475     0.019802     0.019702  
  0.762376     0.019802     0.019686  
  0.772277     0.019802     0.019666  
  0.782178     0.019802     0.019641  
  0.792079     0.019802     0.019610  
  0.801980     0.019802     0.019571  
  0.811881     0.019802     0.019523  
  0.821782     0.019802     0.019463  
  0.831683     0.019802     0.019388  
  0.841584     0.019802     0.019294  
  0.851485     0.019802     0.019176  
  0.861386     0.019802     0.019029  
  0.871287     0.019802     0.018844  
  0.881188     0.019802     0.018612  
  0.891089     0.019802     0.018320  
  0.900990     0.019802     0.017951  
  0.910891     0.019802     0.017486  
  0.920792     0.019802     0.016898  
  0.930693     0.019802     0.016152  
  0.940594     0.019802     0.015202  
  0.950495     0.019802     0.013991  
  0.960396     0.019802     0.012440  
  0.970297     0.019802     0.010442  
  0.980198     0.019802     0.007852  
  0.990099     0.019802     0.004465  
  0.009901     0.029703     0.005742  
  0.019802     0.029703     0.010442  
  0.029703     0.029703     0.014251  
  0.039604     0.029703     0.017321  
  0.049505     0.029703     0.019787  
  0.059406     0.029703     0.021764  
  0.069307     0.029703     0.023345  
  0.079208     0.029703     0.024609  
  0.089109     0.029703     0.025618  
  0.099010     0.029703     0.026425  
  0.108911     0.029703     0.027069  
  0.118812     0.029703     0.027583  
  0.128713     0.029703     0.027994  
  0.138614     0.029703     0.028323  
  0.148515     0.029703     0.028585  
  0.158416     0.029703     0.028796  
  0.168317     0.029703     0.028964  
  0.178218     0.029703     0.029099  
  0.188119     0.029703     0.029208  
  0.198020     0.029703     0.029295  
  0.207921     0.029703     0.029365  
  0.217822     0.029703     0.029421  
  0.227723     0.029703     0.029466  
  0.237624     0.029703     0.029502  
  0.247525     0.029703     0.029532  
  0.257426     0.029703     0.029555  
  0.267327     0.029703     0.029574  
  0.277228     0.029703     0.029590  
  0.287129     0.029703     0.029602  
  0.297030     0.029703     0.029612  
  0.306931     0.029703     0.029620  
  0.316832     0.029703     0.029627  
  0.326733     0.029703     0.029632  
  0.336634     0.029703     0.029636  
  0.346535     0.029703     0.029640  
  0.356436     0.029703     0.029643  
  0.366337     0.029703     0.029645  
  0.376238     0.029703     0.029647  
  0.386139     0.029703     0.029648  
  0.396040     0.029703     0.029649  
  0.405941     0.029703     0.029650  
  0.415842     0.029703     0.029651  
  0.425743     0.029703     0.029652  
  0.435644     0.029703     0.029652  
  0.445545     0.029703     0.029653  
  0.455446     0.029703     0.029653  
  0.465347     0.029703     0.029653  
  0.475248     0.029703     0.029653  
  0.485149     0.029703     0.029653  
  0.495050     0.029703     0.029653  
  0.504950     0.029703     0.029653  
  0.514851     0.029703     0.029653  
  0.524752     0.029703     0.029653  
  0.534653     0.029703     0.029653  
  0.544554     0.029703     0.029653  
  0.554455     0.029703     0.029653  
  0.564356     0.029703     0.029652  
  0.574257     0.029703     0.029652  
  0.584158     0.029703     0.029651  
  0.594059     0.029703     0.029650  
  0.603960     0.029703     0.029649  
  0.613861     0.029703     0.029648  
  0.623762     0.029703     0.029647  
  0.633663     0.029703     0.029645  
  0.643564     0.029703     0.029643  
  0.653465     0.029703     0.029640  
  0.663366     0.029703     0.029636  
  0.673267     0.029703     0.029632  
  0.683168     0.029703     0.029627  
  0.693069     0.029703     0.029620  
  0.702970     0.029703     0.029612  
  0.712871     0.029703     0.029602  
  0.722772     0.029703     0.029590  
  0.732673     0.029703     0.029574  
  0.742574     0.029703     0.029555  
  0.752475     0.029703     0.029532  
  0.762376     0.029703     0.029502  
  0.772277     0.029703     0.029466  
  0.782178     0.029703     0.029421  
  0.792079     0.029703     0.029365  
  0.801980     0.029703     0.029295  
  0.811881     0.029703     0.029208  
  0.821782     0.029703     0.029099  
  0.831683     0.029703     0.028964  
  0.841584     0.029703     0.028796  
  0.851485     0.029703     0.028585  
  0.861386     0.029703     0.028323  
  0.871287     0.029703     0.027994  
  0.881188     0.029703     0.027583  
